 51 1872.749309 2.481E-31 1.195E+01.03350.036 6289.18470.67-.002889              1              0                    P 57      375623 510 5 5 1 8   113.0  115.0
 51 1878.321942 6.936E-31 1.204E+01.03380.036 6074.53040.67-.002883              1              0                    P 56      375623 510 5 5 1 8   111.0  113.0
 51 1883.867662 1.904E-30 1.214E+01.03420.036 5863.48830.67-.002877              1              0                    P 55      375623 510 5 5 1 8   109.0  111.0
 51 1889.386331 5.136E-30 1.224E+01.03450.037 5656.06660.67-.002872              1              0                    P 54      375623 510 5 5 1 8   107.0  109.0
 51 1894.877809 1.360E-29 1.235E+01.03480.037 5452.27330.67-.002866              1              0                    P 53      375623 510 5 5 1 8   105.0  107.0
 51 1900.341956 3.539E-29 1.245E+01.03520.037 5252.11620.67-.002861              1              0                    P 52      375623 510 5 5 1 8   103.0  105.0
 51 1902.414114 2.295E-31 2.491E+01.03700.039 6409.92360.67-.002837              2              1                    P 47      475623 510 5 5 1 8    93.0   95.0
 51 1905.778633 9.041E-29 1.254E+01.03550.038 5055.60290.67-.002856              1              0                    P 51      375623 510 5 5 1 8   101.0  103.0
 51 1907.676341 5.311E-31 2.511E+01.03740.040 6233.38530.67-.002833              2              1                    P 46      475623 510 5 5 1 8    91.0   93.0
 51 1911.187699 2.268E-28 1.264E+01.03590.038 4862.74110.67-.002851              1              0                    P 50      475623 510 5 5 1 8    99.0  101.0
 51 1912.910247 1.206E-30 2.531E+01.03780.040 6060.49900.67-.002829              2              1                    P 45      475623 510 5 5 1 8    89.0   91.0
 51 1916.569015 5.588E-28 1.275E+01.03620.038 4673.53810.67-.002846              1              0                    P 49      475623 510 5 5 1 8    97.0   99.0
 51 1918.115690 2.691E-30 2.551E+01.03820.040 5891.27140.67-.002826              2              1                    P 44      475623 510 5 5 1 8    87.0   89.0
 51 1921.922438 1.351E-27 1.285E+01.03660.039 4488.00120.67-.002841              1              0                    P 48      475623 510 5 5 1 8    95.0   97.0
 51 1923.292528 5.893E-30 2.571E+01.03860.041 5725.70900.67-.002822              2              1                    P 43      475623 510 5 5 1 8    85.0   87.0
 51 1927.247828 3.210E-27 1.296E+01.03700.039 4306.13750.67-.002837              1              0                    P 47      475623 510 5 5 1 8    93.0   95.0
 51 1928.440618 1.267E-29 2.591E+01.03900.041 5563.81840.67-.002819              2              1                    P 42      475623 510 5 5 1 8    83.0   85.0
 51 1932.545044 7.487E-27 1.305E+01.03740.040 4127.95390.67-.002833              1              0                    P 46      475623 510 5 5 1 8    91.0   93.0
 51 1933.559820 2.674E-29 2.611E+01.03950.042 5405.60560.67-.002817              2              1                    P 41      475623 510 5 5 1 8    81.0   83.0
 51 1937.813944 1.714E-26 1.316E+01.03780.040 3953.45740.67-.002829              1              0                    P 45      475623 510 5 5 1 8    89.0   91.0
 51 1938.649989 5.542E-29 2.631E+01.03990.042 5251.07690.67-.002815              2              1                    P 40      475623 510 5 5 1 8    79.0   81.0
 51 1943.054387 3.853E-26 1.326E+01.03820.040 3782.65460.67-.002826              1              0                    P 44      475623 510 5 5 1 8    87.0   89.0
 51 1943.350369 1.649E-31 3.970E+01.04270.045 6497.55860.67-.002809              3              2                    P 34      475663 510 5 5 1 8    67.0   69.0
 51 1943.710984 1.127E-28 2.651E+01.04030.043 5100.23820.67-.002813              2              1                    P 39      475623 510 5 5 1 8    77.0   79.0
 51 1948.198254 2.979E-31 3.999E+01.04320.046 6370.16770.67-.002809              3              2                    P 33      475663 510 5 5 1 8    65.0   67.0
 51 1948.266228 8.502E-26 1.337E+01.03860.041 3615.55210.67-.002822              1              0                    P 43      475623 510 5 5 1 8    85.0   87.0
 51 1948.742660 2.250E-28 2.671E+01.04080.043 4953.09540.67-.002811              2              1                    P 38      475623 510 5 5 1 8    75.0   77.0
 51 1953.015958 5.282E-31 4.030E+01.04380.046 6246.46950.67-.002810              3              2                    P 32      475663 510 5 5 1 8    63.0   65.0
